agency	total_cost
Virginia Department of Transportation	22371696737.1884
University of Virginia	3517503373.4083
Virginia Commonwealth University	2490285136.5892
Virginia Polytechnic Institute and State Universit	1762826003.6973
George Mason University	1672549083.3930
James Madison University	1396374201.3412
Department of Medical Assistance Services	961534975.8418
Department of General Services	849196236.1562
College of William and Mary	772687503.8203
Virginia Community College System - System Office	738583477.5891
Old Dominion University	706492374.8069
Department of Corrections	672292357.8623
Christopher Newport University	638418987.7744
Virginia State University	618954731.8539
Radford University	557116275.2439
Department of Social Services	473544394.2719
Department of Education	461598925.6127
Virginia State Police	410016788.5385
Other eVA Localities	403461882.0204
Norfolk State University	387552878.8182
Department of Behavioral Health and Developmental Services	382356520.0374
Correctional Enterprises	375991973.7190
Dillwyn Correctional Center	366766780.2935
Department of Motor Vehicles	357242117.3503
Virginia Military Institute	345670264.6714
Virginia Department of Health	336507774.5726
University of Mary Washington	328439447.1067
Northern Virginia Community College	305617500.9174
Longwood University	302500852.2295
Department of Military Affairs	243579464.0489
Tidewater Community College	227789855.6600
Department of Conservation and Recreation	201916455.0528
Virginia Employment Commission	201444603.5577
Department of Juvenile Justice	194699254.2621
Southside Virginia Training Center	192352528.0769
Virginia Information Technologies Agency	177853825.1299
Virginia Museum of Fine Arts	153764467.2763
Powhatan Correctional Center	140820612.3736
Greensville Correctional Center	127086767.1623
Department of Rail and Public Transportation	125814286.3886
Jamestown-Yorktown Foundation	115898648.1058
Department of Alcoholic Beverage Control	113788824.1340
Fluvanna Correctional Center	108053797.8227
Department of Environmental Quality	99716012.8390
Department of Forensic Science	96545346.7107
Department of Game and Inland Fisheries	86841174.7647
Library of Virginia	83562689.2117
Virginia School for the Deaf and the Blind	81641951.6605
Virginia Department of Emergency Management	78920439.2145
Sussex State Prison II	78286701.3060
Department for Aging and Rehabilitative Services	78251678.4344
Department of Treasury	75366122.9121
VITA eVA Statewide	71544469.2770
Department of Taxation	70207725.7631
Deerfield Correctional Center	69951170.1480
Sussex Correctional Center I	67999091.5835
Coffeewood Correctional Center	63181985.8450
Lunenburg Correctional Center	60752893.9787
J. Sargeant Reynolds Community College	60554326.0503
Thomas Nelson Community College	58891969.4015
